campaign_id,subject,total_saved,saved_5m
704,Rhino,505,313
154,Rhino,504,322
209,Rhino,471,295
649,Rhino,502,291
814,Rhino,507,320
979,Rhino,494,290
44,Rhino,461,283
99,Rhino,517,306
869,Rhino,520,310
319,Rhino,435,313
539,Rhino,498,305
484,Rhino,470,290
759,Rhino,497,317
374,Rhino,491,310
429,Rhino,494,270
1089,Rhino,486,312
264,Rhino,530,332
1034,Rhino,502,305
924,Rhino,512,328
594,Rhino,452,308
578,Maven,420,257
853,Maven,396,245
1018,Maven,403,270
83,Maven,405,230
303,Maven,399,243
193,Maven,410,244
28,Maven,411,228
743,Maven,413,260
688,Maven,408,242
138,Maven,412,271
1073,Maven,405,221
963,Maven,409,239
633,Maven,400,210
798,Maven,420,251
358,Maven,409,230
248,Maven,422,232
468,Maven,405,250
908,Maven,409,245
523,Maven,408,244
413,Maven,408,259
217,Tomcat,124,80
547,Tomcat,126,82
602,Tomcat,117,79
162,Tomcat,129,92
492,Tomcat,120,77
327,Tomcat,131,76
1042,Tomcat,120,79
107,Tomcat,122,82
382,Tomcat,123,86
1097,Tomcat,137,86
877,Tomcat,128,88
932,Tomcat,132,85
767,Tomcat,127,86
657,Tomcat,121,83
437,Tomcat,116,88
822,Tomcat,125,66
712,Tomcat,114,78
272,Tomcat,124,81
52,Tomcat,127,88
987,Tomcat,122,82
806,Nashorn,1158,451
201,Nashorn,1146,386
1081,Nashorn,1151,370
476,Nashorn,1142,363
751,Nashorn,1172,389
586,Nashorn,1148,368
641,Nashorn,1137,432
146,Nashorn,1132,408
91,Nashorn,1119,380
421,Nashorn,1148,384
531,Nashorn,1152,367
311,Nashorn,1160,367
861,Nashorn,1155,349
1026,Nashorn,1102,333
36,Nashorn,1100,328
971,Nashorn,1192,401
696,Nashorn,1158,412
916,Nashorn,1148,373
256,Nashorn,1146,391
366,Nashorn,1103,365
185,Closure,1077,554
625,Closure,1108,530
680,Closure,1108,598
350,Closure,1090,540
570,Closure,1068,524
1010,Closure,1075,529
790,Closure,1072,544
130,Closure,1107,541
735,Closure,1050,525
460,Closure,1088,548
900,Closure,1085,515
405,Closure,1018,505
75,Closure,1106,569
240,Closure,1077,535
295,Closure,1090,538
955,Closure,1075,529
20,Closure,1080,530
515,Closure,1076,546
845,Closure,1070,522
1065,Closure,1106,560
335,Ant,153,108
885,Ant,157,98
665,Ant,156,109
1050,Ant,155,106
830,Ant,156,106
170,Ant,154,103
390,Ant,163,109
995,Ant,145,99
940,Ant,167,107
720,Ant,150,104
555,Ant,145,99
280,Ant,146,100
60,Ant,146,97
775,Ant,147,115
610,Ant,141,100
445,Ant,166,110
225,Ant,157,95
115,Ant,166,104
5,Ant,143,105
500,Ant,145,96
67,Bcel,304,219
452,Bcel,306,214
122,Bcel,339,213
177,Bcel,333,211
837,Bcel,332,226
947,Bcel,327,212
782,Bcel,318,233
672,Bcel,314,203
12,Bcel,323,214
1002,Bcel,321,220
892,Bcel,309,189
342,Bcel,330,213
617,Bcel,308,208
1057,Bcel,335,200
562,Bcel,317,216
287,Bcel,308,199
727,Bcel,330,204
397,Bcel,315,187
232,Bcel,330,228
507,Bcel,332,214